,Gender,Race,Sexual orientation,Age,Ave_salary
,Male,White,Heterosexual,25-34,876.73
,Male,White,Heterosexual,25-34,1227.01
,Male,White,Heterosexual,25-34,1056.33
,Male,White,Heterosexual,25-34,1376.93
,Male,White,Heterosexual,25-34,1152.5
,Male,White,Heterosexual,25-34,985.04
,Male,White,Heterosexual,25-34,1273.15
,Male,White,Heterosexual,25-34,1387.28
,Male,White,Heterosexual,25-34,1296.83
,Male,White,Heterosexual,25-34,1355.82
,Male,White,Heterosexual,25-34,1121.62
,Male,White,Heterosexual,25-34,1189.51
,Male,White,Heterosexual,25-34,1112.08
,Male,White,Heterosexual,25-34,1190.31
,Male,White,Heterosexual,25-34,1076.91
,Male,White,Heterosexual,25-34,848.63
,Male,White,Heterosexual,25-34,1324.56
,Male,White,Heterosexual,25-34,1179.75
,Male,White,Heterosexual,25-34,872.65
,Male,White,Heterosexual,25-34,1395.9
,Male,White,Heterosexual,25-34,1053.38
,Male,White,Heterosexual,25-34,1293.19
,Male,White,Heterosexual,25-34,1462.47
,Male,White,Heterosexual,25-34,1312.45
,Male,White,Heterosexual,25-34,1565.05
,Male,White,Heterosexual,25-34,971.49
,Male,White,Heterosexual,25-34,1380.79
,Male,White,Heterosexual,25-34,1109
,Male,White,Heterosexual,25-34,1062.5
,Male,White,Heterosexual,25-34,1135.49
,Male,White,Heterosexual,25-34,1202.31
,Male,White,Heterosexual,25-34,1294.24
,Male,White,Heterosexual,25-34,988.91
,Male,White,Heterosexual,25-34,1505.41
,Male,White,Heterosexual,25-34,1396.62
,Male,White,Heterosexual,25-34,896.14
,Male,White,Heterosexual,25-34,1652.26
,Male,White,Heterosexual,25-34,1754.17
,Male,White,Heterosexual,25-34,1574.89
,Male,White,Heterosexual,25-34,1235.22
,Male,White,Heterosexual,25-34,1012.51
,Male,White,Heterosexual,25-34,1543.81
,Male,White,Heterosexual,25-34,1179.41
,Male,White,Heterosexual,25-34,1585.81
,Male,White,Heterosexual,25-34,1332.27
,Male,White,Heterosexual,25-34,1524.36
,Male,White,Heterosexual,25-34,1369.29
,Male,White,Heterosexual,25-34,1456.84
,Male,White,Heterosexual,25-34,1282.83
,Male,White,Heterosexual,25-34,1726.67
,Male,White,Heterosexual,25-34,1311.93
,Male,White,Heterosexual,25-34,1380.7
,Male,White,Heterosexual,25-34,1750.99
,Male,White,Heterosexual,25-34,943.26
,Male,White,Heterosexual,25-34,962.58
,Male,White,Heterosexual,25-34,1522.55
,Male,White,Heterosexual,25-34,986.92
,Male,White,Heterosexual,25-34,1766.11
,Male,White,Heterosexual,25-34,1176.8
,Male,White,Heterosexual,25-34,1093.34
,Male,White,Heterosexual,25-34,1760.94
,Male,White,Heterosexual,25-34,1650.33
,Male,White,Heterosexual,25-34,1747.09
,Male,White,Heterosexual,25-34,1506.71
,Male,White,Heterosexual,25-34,1064.89
,Male,White,Heterosexual,25-34,1757.72
,Male,White,Heterosexual,25-34,1213.2
,Male,White,Heterosexual,25-34,1480.81
,Male,White,Heterosexual,25-34,1517.01
,Male,White,Heterosexual,25-34,1241.45
,Male,White,Heterosexual,25-34,1433.72
,Male,White,Heterosexual,25-34,1510.75
,Male,White,Heterosexual,25-34,1374.31
,Male,White,Heterosexual,25-34,1005.35
,Male,White,Heterosexual,25-34,1354.76
,Male,White,Heterosexual,25-34,1611.8
,Male,White,Heterosexual,25-34,1106.56
,Male,White,Heterosexual,25-34,1242.79
,Male,White,Heterosexual,25-34,1171.41
,Male,White,Heterosexual,25-34,1742.52
,Male,White,Heterosexual,25-34,1448.27
,Male,White,Heterosexual,25-34,1382.07
,Male,White,Heterosexual,25-34,1087.72
,Male,White,Heterosexual,25-34,1415.01
,Male,White,Heterosexual,25-34,1111.62
,Male,White,Heterosexual,25-34,1288.16
,Male,White,Heterosexual,25-34,1121.24
,Male,White,Heterosexual,25-34,1449.31
,Male,White,Heterosexual,35-44,1424.35
,Male,White,Heterosexual,35-44,1228.13
,Male,White,Heterosexual,35-44,1379.2
,Male,White,Heterosexual,35-44,1006.93
,Male,White,Heterosexual,35-44,907.39
,Male,White,Heterosexual,35-44,1390.05
,Male,White,Heterosexual,35-44,1321.87
,Male,White,Heterosexual,35-44,1438.96
,Male,White,Heterosexual,35-44,1875.99
,Male,White,Heterosexual,35-44,1516.32
,Male,White,Heterosexual,35-44,1051.99
,Male,White,Heterosexual,35-44,1559.45
,Male,White,Heterosexual,35-44,951.22
,Male,White,Heterosexual,35-44,1164.8
,Male,White,Heterosexual,35-44,1263.14
,Male,White,Heterosexual,35-44,1708.54
,Male,White,Heterosexual,35-44,1094.01
,Male,White,Heterosexual,35-44,1073.59
,Male,White,Heterosexual,35-44,1255.59
,Male,White,Heterosexual,35-44,1114.33
,Male,White,Heterosexual,35-44,1561.86
,Male,White,Heterosexual,35-44,1010.22
,Male,White,Heterosexual,35-44,993.33
,Male,White,Heterosexual,35-44,1170.74
,Male,White,Heterosexual,35-44,1155.69
,Male,White,Heterosexual,35-44,1762.58
,Male,White,Heterosexual,35-44,1517.56
,Male,White,Heterosexual,35-44,1302.09
,Male,White,Heterosexual,35-44,973.84
,Male,White,Heterosexual,35-44,1491.29
,Male,White,Heterosexual,35-44,1030.15
,Male,White,Heterosexual,35-44,894.01
,Male,White,Heterosexual,35-44,1577.21
,Male,White,Heterosexual,35-44,1359.44
,Male,White,Heterosexual,35-44,1510.41
,Male,White,Heterosexual,35-44,1359.88
,Male,White,Heterosexual,35-44,1494.41
,Male,White,Heterosexual,35-44,1117.44
,Male,White,Heterosexual,35-44,1021.64
,Male,White,Heterosexual,35-44,1450.6
,Male,White,Heterosexual,35-44,1079.35
,Male,White,Heterosexual,35-44,1107.81
,Male,White,Heterosexual,35-44,1166.32
,Male,White,Heterosexual,35-44,1284.57
,Male,White,Heterosexual,35-44,1191.7
,Male,White,Heterosexual,35-44,936.46
,Male,White,Heterosexual,35-44,1119.3
,Male,White,Heterosexual,35-44,724.35
,Male,White,Heterosexual,35-44,1436.51
,Male,White,Heterosexual,35-44,879.69
,Male,White,Heterosexual,35-44,1004.1
,Male,White,Heterosexual,35-44,1293.24
,Male,White,Heterosexual,35-44,1095.31
,Male,White,Heterosexual,35-44,1665.95
,Male,White,Heterosexual,35-44,956.99
,Male,White,Heterosexual,35-44,1346.96
,Male,White,Heterosexual,35-44,1270.38
,Male,White,Heterosexual,35-44,988.18
,Male,White,Heterosexual,35-44,1411.02
,Male,White,Heterosexual,35-44,1237.31
,Male,White,Heterosexual,35-44,1473.15
,Male,White,Heterosexual,35-44,1486.08
,Male,White,Heterosexual,35-44,1821.01
,Male,White,Heterosexual,35-44,1614.33
,Male,White,Heterosexual,35-44,1187.9
,Male,White,Heterosexual,35-44,1220.36
,Male,White,Heterosexual,35-44,1555.11
,Male,White,Heterosexual,35-44,1444.02
,Male,White,Heterosexual,35-44,1440.23
,Male,White,Heterosexual,35-44,875.96
,Male,White,Heterosexual,35-44,1274.12
,Male,White,Heterosexual,35-44,1095.69
,Male,White,Heterosexual,35-44,1350.18
,Male,White,Heterosexual,35-44,1255.66
,Male,White,Heterosexual,35-44,1507.74
,Male,White,Heterosexual,35-44,1359.5
,Male,White,Heterosexual,35-44,1476.78
,Male,White,Heterosexual,35-44,1163.6
,Male,White,Heterosexual,35-44,1044.09
,Male,White,Heterosexual,35-44,1177.69
,Male,White,Heterosexual,35-44,1275.94
,Male,White,Heterosexual,35-44,1374.99
,Male,White,Heterosexual,45-54,1845.03
,Male,White,Heterosexual,45-54,1269.64
,Male,White,Heterosexual,45-54,1041.21
,Male,White,Heterosexual,45-54,1193.7
,Male,White,Heterosexual,45-54,1164.3
,Male,White,Heterosexual,45-54,1400.57
,Male,White,Heterosexual,45-54,895.00
,Male,White,Heterosexual,45-54,1296.02
,Male,White,Heterosexual,45-54,1319.33
,Male,White,Heterosexual,45-54,1338.25
,Male,White,Heterosexual,45-54,1130.87
,Male,White,Heterosexual,45-54,1220.72
,Male,White,Heterosexual,45-54,924.18
,Male,White,Heterosexual,45-54,1156.87
,Male,White,Heterosexual,45-54,1144.48
,Male,White,Heterosexual,45-54,1384.21
,Male,White,Heterosexual,45-54,991.15
,Male,White,Heterosexual,45-54,1475.5
,Male,White,Heterosexual,45-54,1653.82
,Male,White,Heterosexual,45-54,762.70
,Male,White,Heterosexual,45-54,1386.76
,Male,White,Heterosexual,45-54,1449.43
,Male,White,Heterosexual,45-54,1120.84
,Male,White,Heterosexual,45-54,1180.88
,Male,White,Heterosexual,45-54,1246.98
,Male,White,Heterosexual,45-54,1205.75
,Male,White,Heterosexual,45-54,1202.95
,Male,White,Heterosexual,45-54,861.20
,Male,White,Heterosexual,45-54,1568.28
,Male,White,Heterosexual,45-54,1550.1
,Male,White,Heterosexual,45-54,1076.86
,Male,White,Heterosexual,45-54,913.59
,Male,White,Heterosexual,45-54,1410.47
,Male,White,Heterosexual,45-54,1136.25
,Male,White,Heterosexual,45-54,1315.69
,Male,White,Heterosexual,45-54,1200.37
,Male,White,Heterosexual,45-54,1453.08
,Male,White,Heterosexual,45-54,1453.89
,Male,White,Heterosexual,45-54,1098.8
,Male,White,Heterosexual,45-54,934.36
,Male,White,Heterosexual,45-54,884.47
,Male,White,Heterosexual,45-54,1432.79
,Male,White,Heterosexual,45-54,982.99
,Male,White,Heterosexual,45-54,1153.5
,Male,White,Heterosexual,45-54,1131.12
,Male,White,Heterosexual,45-54,1267.06
,Male,White,Heterosexual,45-54,796.13
,Male,White,Heterosexual,45-54,1327.39
,Male,White,Heterosexual,45-54,1411.17
,Male,White,Heterosexual,45-54,1302.31
,Male,White,Heterosexual,45-54,1202.48
,Male,White,Heterosexual,45-54,1304.55
,Male,White,Heterosexual,45-54,1379.96
,Male,White,Heterosexual,45-54,587.05
,Male,White,Heterosexual,45-54,1769.18
,Male,White,Heterosexual,45-54,1377.72
,Male,White,Heterosexual,45-54,1117.1
,Male,White,Heterosexual,45-54,1182.46
,Male,White,Heterosexual,45-54,1403.64
,Male,White,Heterosexual,45-54,1251.17
,Male,White,Heterosexual,45-54,772.53
,Male,White,Heterosexual,45-54,1796.32
,Male,White,Heterosexual,45-54,1252.56
,Male,White,Heterosexual,45-54,1535.24
,Male,White,Heterosexual,45-54,1107.19
,Male,White,Heterosexual,45-54,1664.29
,Male,White,Heterosexual,45-54,1351.79
,Male,White,Heterosexual,45-54,1432.41
,Male,White,Heterosexual,45-54,1018.89
,Male,White,Heterosexual,45-54,1582.99
,Male,White,Heterosexual,45-54,1452.65
,Male,White,Heterosexual,45-54,1605.66
,Male,White,Heterosexual,45-54,1123.18
,Male,White,Heterosexual,45-54,1159.94
,Male,White,Heterosexual,45-54,1856.18
,Male,White,Heterosexual,45-54,1015.2
,Male,White,Heterosexual,45-54,1246.21
,Male,White,Heterosexual,45-54,1564.42
,Male,White,Heterosexual,45-54,1304.63
,Male,White,Heterosexual,45-54,1425.94
,Male,White,Heterosexual,45-54,1180.34
,Male,White,Heterosexual,55-64,1372.71
,Male,White,Heterosexual,55-64,953.57
,Male,White,Heterosexual,55-64,1694.73
,Male,White,Heterosexual,55-64,1250.66
,Male,White,Heterosexual,55-64,1110.16
,Male,White,Heterosexual,55-64,1446.8
,Male,White,Heterosexual,55-64,1165.02
,Male,White,Heterosexual,55-64,946.64
,Male,White,Heterosexual,55-64,943.52
,Male,White,Heterosexual,55-64,1453.64
,Male,White,Heterosexual,55-64,1240.31
,Male,White,Heterosexual,55-64,1246.77
,Male,White,Heterosexual,55-64,1549.64
,Male,White,Heterosexual,55-64,998.49
,Male,White,Heterosexual,55-64,1097.53
,Male,White,Heterosexual,55-64,1183.98
,Male,White,Heterosexual,55-64,1303.79
,Male,White,Heterosexual,55-64,1269.66
,Male,White,Heterosexual,55-64,1208.48
,Male,White,Heterosexual,55-64,1264.79
,Male,White,Heterosexual,55-64,1253.37
,Male,White,Heterosexual,55-64,1100.3
,Male,White,Heterosexual,55-64,1076.95
,Male,White,Heterosexual,55-64,1348.83
,Male,White,Heterosexual,55-64,1057.47
,Male,White,Heterosexual,55-64,990.86
,Male,White,Heterosexual,55-64,1202.13
,Male,White,Heterosexual,55-64,1240.78
,Male,White,Heterosexual,55-64,1844.38
,Male,White,Heterosexual,55-64,1104.02
,Male,White,Heterosexual,55-64,1516.02
,Male,White,Heterosexual,55-64,1467
,Male,White,Heterosexual,55-64,982.96
,Male,White,Heterosexual,55-64,1473.51
,Male,White,Heterosexual,55-64,984.23
,Male,White,Heterosexual,55-64,615.41
,Male,White,Heterosexual,55-64,1431.78
,Male,White,Heterosexual,55-64,841.23
,Male,White,Heterosexual,55-64,1392.93
,Male,White,Heterosexual,55-64,1109.2
,Male,White,Heterosexual,55-64,1695.09
,Male,White,Heterosexual,55-64,1547.33
,Male,White,Heterosexual,55-64,1166.85
,Male,White,Heterosexual,55-64,1108.24
,Male,White,Heterosexual,55-64,976.68
,Male,White,Heterosexual,55-64,1169.97
,Male,White,Heterosexual,55-64,1210.11
,Male,White,Heterosexual,55-64,1189.03
,Male,White,Heterosexual,55-64,1319.38
,Male,White,Heterosexual,55-64,1424.83
,Male,White,Heterosexual,55-64,1367.61
,Male,White,Heterosexual,55-64,1089.16
,Male,White,Heterosexual,55-64,920.75
,Male,White,Heterosexual,55-64,1621.33
,Male,White,Heterosexual,55-64,1107.84
,Male,White,Heterosexual,55-64,1117.13
,Male,White,Heterosexual,55-64,1149.9
,Male,White,Heterosexual,55-64,819.43
,Male,White,Heterosexual,55-64,1160.71
,Male,White,Heterosexual,55-64,1160.29
,Male,White,Heterosexual,55-64,1435.29
,Male,White,Heterosexual,55-64,1454.81
,Male,White,Heterosexual,55-64,1281.14
,Male,White,Heterosexual,55-64,1513.16
,Male,White,Heterosexual,55-64,1365.19
,Male,White,Heterosexual,55-64,1276.28
,Male,White,Heterosexual,55-64,1320.43
,Male,White,Heterosexual,>64,1232.54
,Male,White,Heterosexual,>64,1181.49
,Male,White,Heterosexual,>64,1213.27
,Male,White,Heterosexual,>64,998.20
,Male,White,Heterosexual,>64,1350.31
,Male,White,Heterosexual,>64,1031.92
,Male,White,Heterosexual,>64,1490.61
,Male,White,Heterosexual,>64,1217.84
,Male,White,Heterosexual,>64,1292.57
,Male,White,Heterosexual,>64,1403.66
,Male,White,Heterosexual,>64,1441.03
,Male,White,Heterosexual,>64,887.54
,Male,White,Heterosexual,>64,1228.47
,Male,White,Heterosexual,>64,1500.24
,Male,White,Homosexual,20-24,1665.17
,Male,White,Homosexual,25-34,1324.20
,Male,White,Homosexual,35-44,1468.84
,Male,White,Homosexual,45-54,1784.38
,Male,White,Homosexual,55-64,1691.05
,Male,White,Homosexual,>64,979.84
,Male,White,Homosexual,25-34,1461.68
,Male,White,Homosexual,35-44,1186.32
,Male,White,Bisexual ,25-34,1280.2
,Male,White,Bisexual ,35-44,1024.16
,Male,White,Bisexual ,45-54,768.12
,Male,Black,Heterosexual,16-19,1413.71
,Male,Black,Heterosexual,20-24,1072.74
,Male,Black,Heterosexual,20-24,1217.38
,Male,Black,Heterosexual,20-24,1532.92
,Male,Black,Heterosexual,25-34,1439.59
,Male,Black,Heterosexual,25-34,728.38
,Male,Black,Heterosexual,25-34,1210.22
,Male,Black,Heterosexual,25-34,934.86
,Male,Black,Heterosexual,25-34,946.90
,Male,Black,Heterosexual,25-34,1075.35
,Male,Black,Heterosexual,25-34,1008.71
,Male,Black,Heterosexual,25-34,1336.27
,Male,Black,Heterosexual,35-44,1162.96
,Male,Black,Heterosexual,35-44,1003.12
,Male,Black,Heterosexual,35-44,1083.67
,Male,Black,Heterosexual,35-44,1056.12
,Male,Black,Heterosexual,35-44,1346.22
,Male,Black,Heterosexual,35-44,921.41
,Male,Black,Heterosexual,35-44,1050.97
,Male,Black,Heterosexual,45-54,759.18
,Male,Black,Heterosexual,45-54,334.45
,Male,Black,Heterosexual,45-54,1136.10
,Male,Black,Heterosexual,45-54,1188.81
,Male,Black,Heterosexual,45-54,787.16
,Male,Black,Heterosexual,45-54,1540.14
,Male,Black,Heterosexual,45-54,609.11
,Male,Black,Heterosexual,55-64,984.14
,Male,Black,Heterosexual,55-64,925.90
,Male,Black,Heterosexual,55-64,1355.89
,Male,Black,Heterosexual,55-64,1340.04
,Male,Black,Heterosexual,55-64,1011.44
,Male,Black,Heterosexual,55-64,1067.24
,Male,Black,Heterosexual,55-64,750.75
,Male,Black,Heterosexual,>64,477.50
,Male,Black,Homosexual,25-34,817.11
,Male,Black,Homosexual,35-44,739.29
,Male,Black,Bisexual ,25-34,778.2
,Male,Latino,Heterosexual,16-19,1456.01
,Male,Latino,Heterosexual,20-24,1115.04
,Male,Latino,Heterosexual,20-24,1259.68
,Male,Latino,Heterosexual,20-24,1575.22
,Male,Latino,Heterosexual,20-24,1481.89
,Male,Latino,Heterosexual,25-34,770.68
,Male,Latino,Heterosexual,25-34,1252.52
,Male,Latino,Heterosexual,25-34,977.16
,Male,Latino,Heterosexual,25-34,989.20
,Male,Latino,Heterosexual,25-34,1117.65
,Male,Latino,Heterosexual,25-34,1051.01
,Male,Latino,Heterosexual,25-34,1378.57
,Male,Latino,Heterosexual,25-34,1205.26
,Male,Latino,Heterosexual,25-34,1045.42
,Male,Latino,Heterosexual,25-34,1125.97
,Male,Latino,Heterosexual,35-44,1098.42
,Male,Latino,Heterosexual,35-44,1388.52
,Male,Latino,Heterosexual,35-44,963.71
,Male,Latino,Heterosexual,35-44,1093.27
,Male,Latino,Heterosexual,35-44,801.48
,Male,Latino,Heterosexual,35-44,376.75
,Male,Latino,Heterosexual,35-44,1178.40
,Male,Latino,Heterosexual,35-44,1231.11
,Male,Latino,Heterosexual,35-44,829.46
,Male,Latino,Heterosexual,45-54,1582.44
,Male,Latino,Heterosexual,45-54,651.41
,Male,Latino,Heterosexual,45-54,1026.44
,Male,Latino,Heterosexual,45-54,968.20
,Male,Latino,Heterosexual,45-54,1398.19
,Male,Latino,Heterosexual,45-54,1382.34
,Male,Latino,Heterosexual,45-54,1053.74
,Male,Latino,Heterosexual,45-54,1109.54
,Male,Latino,Heterosexual,45-54,793.05
,Male,Latino,Heterosexual,55-64,519.80
,Male,Latino,Heterosexual,55-64,928.02
,Male,Latino,Heterosexual,55-64,1054.09
,Male,Latino,Heterosexual,55-64,1322.57
,Male,Latino,Heterosexual,55-64,1315.59
,Male,Latino,Heterosexual,55-64,918.17
,Male,Latino,Heterosexual,55-64,939.42
,Male,Latino,Heterosexual,>64,752.86
,Male,Latino,Heterosexual,>64,660.00
,Male,Latino,Heterosexual,>64,588.43
,Male,Latino,Heterosexual,>64,1502.69
,Male,Latino,Homosexual,20-24,609
,Male,Latino,Homosexual,25-34,852.6
,Male,Latino,Bisexual ,25-34,812
,Male,Asian ,Heterosexual,16-19,1867.61
,Male,Asian ,Heterosexual,20-24,1526.64
,Male,Asian ,Heterosexual,20-24,1671.28
,Male,Asian ,Heterosexual,20-24,1986.82
,Male,Asian ,Heterosexual,20-24,1893.49
,Male,Asian ,Heterosexual,25-34,1182.28
,Male,Asian ,Heterosexual,25-34,1664.12
,Male,Asian ,Heterosexual,25-34,1388.76
,Male,Asian ,Heterosexual,25-34,1400.80
,Male,Asian ,Heterosexual,25-34,1529.25
,Male,Asian ,Heterosexual,25-34,1462.61
,Male,Asian ,Heterosexual,25-34,1790.17
,Male,Asian ,Heterosexual,25-34,1616.86
,Male,Asian ,Heterosexual,25-34,1457.02
,Male,Asian ,Heterosexual,25-34,1537.57
,Male,Asian ,Heterosexual,35-44,1510.02
,Male,Asian ,Heterosexual,35-44,1800.12
,Male,Asian ,Heterosexual,35-44,1375.31
,Male,Asian ,Heterosexual,35-44,1504.87
,Male,Asian ,Heterosexual,35-44,1213.08
,Male,Asian ,Heterosexual,35-44,788.35
,Male,Asian ,Heterosexual,35-44,1590.00
,Male,Asian ,Heterosexual,35-44,1642.71
,Male,Asian ,Heterosexual,35-44,1241.06
,Male,Asian ,Heterosexual,45-54,1994.04
,Male,Asian ,Heterosexual,45-54,1063.01
,Male,Asian ,Heterosexual,45-54,1438.04
,Male,Asian ,Heterosexual,45-54,1379.80
,Male,Asian ,Heterosexual,45-54,1809.79
,Male,Asian ,Heterosexual,45-54,1793.94
,Male,Asian ,Heterosexual,45-54,1465.34
,Male,Asian ,Heterosexual,45-54,1521.14
,Male,Asian ,Heterosexual,45-54,1204.65
,Male,Asian ,Heterosexual,55-64,931.40
,Male,Asian ,Heterosexual,55-64,1339.62
,Male,Asian ,Heterosexual,55-64,1465.69
,Male,Asian ,Heterosexual,55-64,1734.17
,Male,Asian ,Heterosexual,55-64,1727.19
,Male,Asian ,Heterosexual,55-64,1329.77
,Male,Asian ,Heterosexual,55-64,1351.02
,Male,Asian ,Heterosexual,>64,1164.46
,Male,Asian ,Heterosexual,>64,1071.60
,Male,Asian ,Heterosexual,>64,1000.03
,Male,Asian ,Homosexual,20-24,1084.24
,Male,Asian ,Homosexual,25-34,1198.37
,Male,Asian ,Bisexual ,25-34,1141.3
,Female ,White,Heterosexual,16-19,1379.51
,Female ,White,Heterosexual,16-19,1038.54
,Female ,White,Heterosexual,16-19,1183.18
,Female ,White,Heterosexual,16-19,1498.72
,Female ,White,Heterosexual,16-19,1405.39
,Female ,White,Heterosexual,16-19,694.18
,Female ,White,Heterosexual,16-19,1176.02
,Female ,White,Heterosexual,16-19,900.66
,Female ,White,Heterosexual,16-19,912.70
,Female ,White,Heterosexual,16-19,1041.15
,Female ,White,Heterosexual,16-19,974.51
,Female ,White,Heterosexual,16-19,1302.07
,Female ,White,Heterosexual,20-24,1128.76
,Female ,White,Heterosexual,20-24,968.92
,Female ,White,Heterosexual,20-24,1049.47
,Female ,White,Heterosexual,20-24,1021.92
,Female ,White,Heterosexual,20-24,1312.02
,Female ,White,Heterosexual,20-24,887.21
,Female ,White,Heterosexual,20-24,1016.77
,Female ,White,Heterosexual,20-24,724.98
,Female ,White,Heterosexual,20-24,300.25
,Female ,White,Heterosexual,20-24,1101.90
,Female ,White,Heterosexual,20-24,1154.61
,Female ,White,Heterosexual,20-24,752.96
,Female ,White,Heterosexual,20-24,1505.94
,Female ,White,Heterosexual,20-24,574.91
,Female ,White,Heterosexual,20-24,949.94
,Female ,White,Heterosexual,20-24,891.70
,Female ,White,Heterosexual,20-24,1321.69
,Female ,White,Heterosexual,20-24,1305.84
,Female ,White,Heterosexual,20-24,977.24
,Female ,White,Heterosexual,20-24,1033.04
,Female ,White,Heterosexual,20-24,716.55
,Female ,White,Heterosexual,20-24,443.30
,Female ,White,Heterosexual,20-24,851.52
,Female ,White,Heterosexual,20-24,977.59
,Female ,White,Heterosexual,20-24,1246.07
,Female ,White,Heterosexual,20-24,1239.09
,Female ,White,Heterosexual,20-24,841.67
,Female ,White,Heterosexual,20-24,862.92
,Female ,White,Heterosexual,20-24,676.36
,Female ,White,Heterosexual,20-24,583.50
,Female ,White,Heterosexual,20-24,511.93
,Female ,White,Heterosexual,20-24,1426.19
,Female ,White,Heterosexual,20-24,811.09
,Female ,White,Heterosexual,20-24,828.98
,Female ,White,Heterosexual,20-24,625.30
,Female ,White,Heterosexual,25-34,1132.87
,Female ,White,Heterosexual,25-34,535.03
,Female ,White,Heterosexual,25-34,885.31
,Female ,White,Heterosexual,25-34,714.63
,Female ,White,Heterosexual,25-34,1035.23
,Female ,White,Heterosexual,25-34,810.80
,Female ,White,Heterosexual,25-34,643.34
,Female ,White,Heterosexual,25-34,931.45
,Female ,White,Heterosexual,25-34,1045.58
,Female ,White,Heterosexual,25-34,955.13
,Female ,White,Heterosexual,25-34,1014.12
,Female ,White,Heterosexual,25-34,779.92
,Female ,White,Heterosexual,25-34,847.81
,Female ,White,Heterosexual,25-34,770.38
,Female ,White,Heterosexual,25-34,848.61
,Female ,White,Heterosexual,25-34,735.21
,Female ,White,Heterosexual,25-34,506.93
,Female ,White,Heterosexual,25-34,982.86
,Female ,White,Heterosexual,25-34,838.05
,Female ,White,Heterosexual,25-34,530.95
,Female ,White,Heterosexual,25-34,1054.20
,Female ,White,Heterosexual,25-34,711.68
,Female ,White,Heterosexual,25-34,951.49
,Female ,White,Heterosexual,25-34,1120.77
,Female ,White,Heterosexual,25-34,970.75
,Female ,White,Heterosexual,25-34,1223.35
,Female ,White,Heterosexual,25-34,629.79
,Female ,White,Heterosexual,25-34,1039.09
,Female ,White,Heterosexual,25-34,767.30
,Female ,White,Heterosexual,25-34,720.80
,Female ,White,Heterosexual,25-34,793.79
,Female ,White,Heterosexual,25-34,860.61
,Female ,White,Heterosexual,25-34,952.54
,Female ,White,Heterosexual,25-34,647.21
,Female ,White,Heterosexual,25-34,1163.71
,Female ,White,Heterosexual,25-34,1054.92
,Female ,White,Heterosexual,25-34,554.44
,Female ,White,Heterosexual,25-34,1310.56
,Female ,White,Heterosexual,25-34,1412.47
,Female ,White,Heterosexual,25-34,1233.19
,Female ,White,Heterosexual,25-34,893.52
,Female ,White,Heterosexual,25-34,670.81
,Female ,White,Heterosexual,25-34,1202.11
,Female ,White,Heterosexual,25-34,837.71
,Female ,White,Heterosexual,25-34,1244.11
,Female ,White,Heterosexual,25-34,990.57
,Female ,White,Heterosexual,25-34,1182.66
,Female ,White,Heterosexual,25-34,1027.59
,Female ,White,Heterosexual,25-34,1115.14
,Female ,White,Heterosexual,25-34,941.13
,Female ,White,Heterosexual,25-34,1384.97
,Female ,White,Heterosexual,25-34,970.23
,Female ,White,Heterosexual,25-34,1039.00
,Female ,White,Heterosexual,25-34,1409.29
,Female ,White,Heterosexual,25-34,601.56
,Female ,White,Heterosexual,25-34,620.88
,Female ,White,Heterosexual,25-34,1180.85
,Female ,White,Heterosexual,25-34,645.22
